iteration,error
1,18.42955
10,18.42953
11,18.42951
12,18.4295
13,18.42948
14,18.42946
15,18.42944
16,18.42941
17,18.42939
18,18.42937
19,18.42934
20,18.42932
21,18.4293
22,18.42927
23,18.42925
24,18.42922
25,18.4292
26,18.42918
27,18.42915
28,18.42913
29,18.42911
30,18.42908
31,18.42906
32,18.42904
33,18.42902
34,18.429
35,18.42897
36,18.42895
37,18.42893
38,18.42891
39,18.42889
40,18.42887
41,18.42886
42,18.42884
43,18.42882
44,18.4288
45,18.42878
46,18.42877
47,18.42875
48,18.42873
49,18.42872
50,18.4287
51,18.42868
52,18.42867
53,18.42865
54,18.42864
55,18.42863
56,18.42861
57,18.4286
58,18.42858
59,18.42857
60,18.42856
61,18.42855
62,18.42853
63,18.42852
64,18.42851
65,18.4285
66,18.42849
67,18.42848
68,18.42847
69,18.42845
70,18.42844
71,18.42843
72,18.42842
73,18.42841
75,18.4284
76,18.42839
77,18.42838
78,18.42837
79,18.42836
80,18.42835
82,18.42834
83,18.42833
84,18.42832
85,18.42831
87,18.4283
88,18.42829
90,18.42828
91,18.42827
93,18.42826
95,18.42825
96,18.42824
98,18.42823
100,18.42822
102,18.42821
104,18.4282
106,18.42819
108,18.42818
111,18.42817
113,18.42816
116,18.42815
118,18.42814
121,18.42813
125,18.42812
128,18.42811
132,18.4281
136,18.42809
140,18.42808
145,18.42807
151,18.42806
157,18.42805
164,18.42804
173,18.42803
184,18.42802
199,18.42801
221,18.428
266,18.42799
